Description,Name
Student recipient count for average/median Parent PLUS loan debt disbursed to males at this institution,cip.debt.parent_plus.male.eval_inst.count
Average Parent PLUS loan debt disbursed to males at this institution,cip.debt.parent_plus.male.eval_inst.average
Median Parent PLUS loan debt disbursed to males at this institution,cip.debt.parent_plus.male.eval_inst.median
Student recipient count for average/median Parent PLUS loan debt disbursed to non-males at this institution,cip.debt.parent_plus.not_male.eval_inst.count
Average Parent PLUS loan debt disbursed to non-males at this institution,cip.debt.parent_plus.not_male.eval_inst.average
Median Parent PLUS loan debt disbursed to non-males at this institution,cip.debt.parent_plus.not_male.eval_inst.median
Student recipient count for average/median Parent PLUS loan debt disbursed to Pell recipients at this institution,cip.debt.parent_plus.pell.eval_inst.count
Average Parent PLUS loan debt disbursed to Pell recipients at this institution,cip.debt.parent_plus.pell.eval_inst.average
Median Parent PLUS loan debt disbursed to Pell recipients at this institution,cip.debt.parent_plus.pell.eval_inst.median
Student recipient count for average/median Parent PLUS loan debt disbursed to non-Pell-recipients at this institution,cip.debt.parent_plus.not_pell.eval_inst.count
Average Parent PLUS loan debt disbursed to non-Pell-recipients at this institution,cip.debt.parent_plus.not_pell.eval_inst.average
Median Parent PLUS loan debt disbursed to non-Pell-recipients at this institution,cip.debt.parent_plus.not_pell.eval_inst.median
Borrower count for average/median Stafford and Grad PLUS loan debt disbursed at all institutions,cip.debt.staff_grad_plus.all.all_inst.count
Average Stafford and Grad PLUS loan debt disbursed at all institutions,cip.debt.staff_grad_plus.all.all_inst.average
Median Stafford and Grad PLUS loan debt disbursed at all institutions,cip.debt.staff_grad_plus.all.all_inst.median
Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to males at all institutions,cip.debt.staff_grad_plus.male.all_inst.count
Average Stafford and Grad PLUS loan debt disbursed to males at all institutions,cip.debt.staff_grad_plus.male.all_inst.average
Median Stafford and Grad PLUS loan debt disbursed to males at all institutions,cip.debt.staff_grad_plus.male.all_inst.median
Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to non-males at all institutions,cip.debt.staff_grad_plus.not_male.all_inst.count
Average Stafford and Grad PLUS loan debt disbursed to non-males at all institutions,cip.debt.staff_grad_plus.not_male.all_inst.average
Median Stafford and Grad PLUS loan debt disbursed to non-males at all institutions,cip.debt.staff_grad_plus.not_male.all_inst.median
Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to Pell recipients at all institutions,cip.debt.staff_grad_plus.pell.all_inst.count
Average Stafford and Grad PLUS loan debt disbursed to Pell recipients at all institutions,cip.debt.staff_grad_plus.pell.all_inst.average
Median Stafford and Grad PLUS loan debt disbursed to Pell recipients at all institutions,cip.debt.staff_grad_plus.pell.all_inst.median
Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at all institutions,cip.debt.staff_grad_plus.not_pell.all_inst.count
Average Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at all institutions,cip.debt.staff_grad_plus.not_pell.all_inst.average
Median Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at all institutions,cip.debt.staff_grad_plus.not_pell.all_inst.median
Borrower count for average/median Stafford and Grad PLUS loan debt disbursed at this institution,cip.debt.staff_grad_plus.all.eval_inst.count
Average Stafford and Grad PLUS loan debt disbursed at this institution,cip.debt.staff_grad_plus.all.eval_inst.average
Median Stafford and Grad PLUS loan debt disbursed at this institution,cip.debt.staff_grad_plus.all.eval_inst.median
Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to males at this institution,cip.debt.staff_grad_plus.male.eval_inst.count
Average Stafford and Grad PLUS loan debt disbursed to males at this institution,cip.debt.staff_grad_plus.male.eval_inst.average
Median Stafford and Grad PLUS loan debt disbursed to males at this institution,cip.debt.staff_grad_plus.male.eval_inst.median
Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to non-males at this institution,cip.debt.staff_grad_plus.not_male.eval_inst.count
Average Stafford and Grad PLUS loan debt disbursed to non-males at this institution,cip.debt.staff_grad_plus.not_male.eval_inst.average
Median Stafford and Grad PLUS loan debt disbursed to non-males at this institution,cip.debt.staff_grad_plus.not_male.eval_inst.median
Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to Pell recipients at this institution,cip.debt.staff_grad_plus.pell.eval_inst.count
Average Stafford and Grad PLUS loan debt disbursed to Pell recipients at this institution,cip.debt.staff_grad_plus.pell.eval_inst.average
Median Stafford and Grad PLUS loan debt disbursed to Pell recipients at this institution,cip.debt.staff_grad_plus.pell.eval_inst.median
Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at this institution,cip.debt.staff_grad_plus.not_pell.eval_inst.count
Average Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at this institution,cip.debt.staff_grad_plus.not_pell.eval_inst.average
Median Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at this institution,cip.debt.staff_grad_plus.not_pell.eval_inst.median
Median estimated monthly payment for Parent PLUS loan debt disbursed at all institutions,cip.debt.parent_plus.all.all_inst.median_payment
Median estimated monthly payment for Parent PLUS loan debt disbursed at this institution,cip.debt.parent_plus.all.eval_inst.median_payment
Median estimated monthly payment for Stafford and Grad PLUS loan debt disbursed at all institutions,cip.debt.staff_grad_plus.all.all_inst.median_payment
Median estimated monthly payment for Stafford and Grad PLUS loan debt disbursed at this institution,cip.debt.staff_grad_plus.all.eval_inst.median_payment
Number of graduates not working and not enrolled 1 year after completing highest credential,cip.earnings.highest.1_yr.not_working_not_enrolled.overall_count
Number of graduates working and not enrolled 1 year after completing highest credential,cip.earnings.highest.1_yr.working_not_enrolled.overall_count
Median earnings of graduates working and not enrolled 1 year after completing highest credential,cip.earnings.highest.1_yr.overall_median_earnings
Number of graduates working and not enrolled who earned more than 150% of the single-person household poverty threshold 1 year after completing highest credential.,cip.earnings.highest.1_yr.overall_count_over_poverty_line
Number of graduates not working and not enrolled 2 years after completing highest credential,cip.earnings.highest.2_yr.not_working_not_enrolled.overall_count
Number of graduates working and not enrolled 2 years after completing highest credential,cip.earnings.highest.2_yr.working_not_enrolled.overall_count
Median earnings of graduates working and not enrolled 2 years after completing highest credential,cip.earnings.highest.2_yr.overall_median_earnings
Number of graduates working and not enrolled who earned more than 150% of the single-person household poverty threshold 2 years after completing highest credential.,cip.earnings.highest.2_yr.overall_count_over_poverty_line
Federal student loan borrower-based 2-year borrower count of completers,cip.repayment.2_yr_bb_fed_comp.count
Percentage of undergraduate completer undergraduate federal student loan borrowers in default after 2 years,cip.repayment.2_yr_bb_fed_comp.default
Percentage of undergraduate completer undergraduate federal student loan borrowers in delinquency after 2 years,cip.repayment.2_yr_bb_fed_comp.delinquent
Percentage of undergraduate completer undergraduate federal student loan borrowers in forbearance after 2 years,cip.repayment.2_yr_bb_fed_comp.forbearance
Percentage of undergraduate completer undergraduate federal student loan borrowers in deferment after 2 years,cip.repayment.2_yr_bb_fed_comp.deferment
Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 2 years,cip.repayment.2_yr_bb_fed_comp.noprogress
Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 2 years,cip.repayment.2_yr_bb_fed_comp.makingprogress
Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 2 years,cip.repayment.2_yr_bb_fed_comp.fullypaid
Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 2 years,cip.repayment.2_yr_bb_fed_comp.discharge
Federal student loan borrower-based 3-year borrower count of completers,cip.repayment.3_yr_bb_fed_comp.count
Percentage of undergraduate completer undergraduate federal student loan borrowers in default after 3 years,cip.repayment.3_yr_bb_fed_comp.default
Percentage of undergraduate completer undergraduate federal student loan borrowers in delinquency after 3 years,cip.repayment.3_yr_bb_fed_comp.delinquent
Percentage of undergraduate completer undergraduate federal student loan borrowers in forbearance after 3 years,cip.repayment.3_yr_bb_fed_comp.forbearance
Percentage of undergraduate completer undergraduate federal student loan borrowers in deferment after 3 years,cip.repayment.3_yr_bb_fed_comp.deferment
Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 3 years,cip.repayment.3_yr_bb_fed_comp.noprogress
Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 3 years,cip.repayment.3_yr_bb_fed_comp.makingprogress
Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 3 years,cip.repayment.3_yr_bb_fed_comp.fullypaid
Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 3 years,cip.repayment.3_yr_bb_fed_comp.discharge
Number of graduates who received a Pell Grant and were working and not enrolled 1 year after completing highest credential,cip.earnings.1_yr.working_not_enrolled.pell_count
Median earnings of graduates who received a Pell Grant and were working and not enrolled 1 year after completing highest credential,cip.earnings.1_yr.pell_median_earnings
Number of graduates who did not receive a Pell Grant and were working and not enrolled 1 year after completing highest credential,cip.earnings.1_yr.working_not_enrolled.nonpell_count
Median earnings of graduates who did not receive a Pell Grant and were working and not enrolled 1 year after completing highest credential,cip.earnings.1_yr.nonpell_median_earnings
Number of male graduates working and not enrolled 1 year after completing highest credential,cip.earnings.1_yr.working_not_enrolled.male_count
Median earnings of male graduates working and not enrolled 1 year after completing highest credential,cip.earnings.1_yr.male_median_earnings
Number of non-male graduates working and not enrolled 1 year after completing highest credential,cip.earnings.1_yr.working_not_enrolled.nonmale_count
Median earnings of non-male graduates working and not enrolled 1 year after completing highest credential,cip.earnings.1_yr.nonmale_median_earnings
Number of graduates not enrolled 3 years after completing highest credential,cip.earnings.highest.3_yr.not_enrolled.overall_count
Median earnings of graduates not enrolled 3 years after completing highest credential,cip.earnings.highest.3_yr.overall_median_earnings
Number of graduates working and not enrolled 3 years after completing highest credential,cip.earnings.highest.3_yr.working_not_enrolled.overall_count
Number of graduates working and not enrolled who earned more than 150% of the single-person household poverty threshold 3 years after completing highest credential.,cip.earnings.highest.3_yr.overall_count_over_poverty_line
Number of graduates who received a Pell Grant and were not enrolled 3 years after completing highest credential,cip.earnings.highest.3_yr.not_enrolled.pell_count
Median earnings of graduates who received a Pell Grant and were not enrolled 3 years after completing highest credential,cip.earnings.highest.3_yr.pell_median_earnings
Number of graduates who did not receive a Pell Grant and were not enrolled 3 years after completing highest credential,cip.earnings.highest.3_yr.not_enrolled.nonpell_count
Median earnings of graduates who did not receive a Pell Grant and were not enrolled 3 years after completing highest credential,cip.earnings.highest.3_yr.nonpell_median_earnings
Number of male graduates not enrolled 3 years after completing highest credential,cip.earnings.highest.3_yr.not_enrolled.male_count
Median earnings of male graduates not enrolled 3 years after completing highest credential,cip.earnings.highest.3_yr.male_median_earnings
Number of non-male graduates not enrolled 3 years after completing highest credential,cip.earnings.highest.3_yr.not_enrolled.nonmale_count
Median earnings of non-male graduates not enrolled 3 years after completing highest credential,cip.earnings.highest.3_yr.nonmale_median_earnings
Number of graduates not working and not enrolled 1 year after completing,cip.earnings.1_yr.not_working_not_enrolled.overall_count
Number of graduates working and not enrolled 1 year after completing,cip.earnings.1_yr.working_not_enrolled.overall_count
Median earnings of graduates working and not enrolled 1 year after completing,cip.earnings.1_yr.overall_median_earnings
Number of graduates working and not enrolled 1 year after completing who earned more than a high school graduate,cip.earnings.1_yr.overall_count_more_than_HS_Grad
Number of graduates working and not enrolled 1 year after completing who went on to earn a higher credential,cip.earnings.1_yr.overall_count_awarded_higher_credential
Number of graduates working and not enrolled 1 year after completing who were employed within the same state as the institution,cip.earnings.1_yr.overall_count_working_in_institution_state
Number of graduates not working and not enrolled 4 year after completing,cip.earnings.4_yr.not_working_not_enrolled.overall_count
Number of graduates working and not enrolled 4 year after completing,cip.earnings.4_yr.working_not_enrolled.overall_count
Median earnings of graduates working and not enrolled 4 year after completing,cip.earnings.4_yr.overall_median_earnings
Number of graduates working and not enrolled 4 years after completing who earned more than a high school graduate,cip.earnings.4_yr.overall_count_more_than_HS_Grad
Number of graduates who received a Pell Grant and were working and not enrolled 4 year after completing,cip.earnings.4_yr.working_not_enrolled.pell_count
Median earnings of graduates who received a Pell Grant and were working and not enrolled 4 year after completing,cip.earnings.4_yr.pell_median_earnings
Number of graduates who did not receive a Pell Grant and were working and not enrolled 4 year after completing,cip.earnings.4_yr.working_not_enrolled.nonpell_count
Median earnings of graduates who did not receive a Pell Grant and were working and not enrolled 4 year after completing,cip.earnings.4_yr.nonpell_median_earnings
Number of male graduates working and not enrolled 4 year after completing,cip.earnings.4_yr.working_not_enrolled.male_count
Median earnings of male graduates working and not enrolled 4 year after completing,cip.earnings.4_yr.male_median_earnings
Number of non-male graduates working and not enrolled 4 year after completing,cip.earnings.4_yr.working_not_enrolled.nonmale_count
Median earnings of non-male graduates working and not enrolled 4 year after completing,cip.earnings.4_yr.nonmale_median_earnings
Number of graduates working and not enrolled 4 years after completing who went on to earn a higher credential,cip.earnings.4_yr.overall_count_awarded_higher_credential
Number of graduates working and not enrolled 4 years after completing who were employed within the same state as the institution,cip.earnings.4_yr.overall_count_working_in_institution_state
Federal student loan borrower-based 1-year borrower count of completers,cip.repayment.1_yr_bb_fed_comp.count
Percentage of undergraduate completer undergraduate federal student loan borrowers in default after 1 years,cip.repayment.1_yr_bb_fed_comp.default
Percentage of undergraduate completer undergraduate federal student loan borrowers in delinquency after 1 years,cip.repayment.1_yr_bb_fed_comp.delinquent
Percentage of undergraduate completer undergraduate federal student loan borrowers in forbearance after 1 years,cip.repayment.1_yr_bb_fed_comp.forbearance
Percentage of undergraduate completer undergraduate federal student loan borrowers in deferment after 1 years,cip.repayment.1_yr_bb_fed_comp.deferment
Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 1 years,cip.repayment.1_yr_bb_fed_comp.noprogress
Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 1 years,cip.repayment.1_yr_bb_fed_comp.makingprogress
Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 1 years,cip.repayment.1_yr_bb_fed_comp.fullypaid
Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 1 years,cip.repayment.1_yr_bb_fed_comp.discharge
Federal student loan borrower-based 4-year borrower count of completers,cip.repayment.4_yr_bb_fed_comp.count
Percentage of undergraduate completer undergraduate federal student loan borrowers in default after 4 years,cip.repayment.4_yr_bb_fed_comp.default
Percentage of undergraduate completer undergraduate federal student loan borrowers in delinquency after 4 years,cip.repayment.4_yr_bb_fed_comp.delinquent
Percentage of undergraduate completer undergraduate federal student loan borrowers in forbearance after 4 years,cip.repayment.4_yr_bb_fed_comp.forbearance
Percentage of undergraduate completer undergraduate federal student loan borrowers in deferment after 4 years,cip.repayment.4_yr_bb_fed_comp.deferment
Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 4 years,cip.repayment.4_yr_bb_fed_comp.noprogress
Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 4 years,cip.repayment.4_yr_bb_fed_comp.makingprogress
Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 4 years,cip.repayment.4_yr_bb_fed_comp.fullypaid
Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 4 years,cip.repayment.4_yr_bb_fed_comp.discharge
Distance education indiciator for the field of study,cip.distance
Unit ID for institution,id
8-digit OPE ID for institution,ope8_id
6-digit OPE ID for institution,ope6_id
Institution name,name
City,city
State postcode,state
ZIP code,zip
Accreditor for institution,accreditor
URL for institution's homepage,school_url
URL for institution's net price calculator,price_calculator_url
Predominant degree awarded (recoded 0s and 4s),degrees_awarded.predominant_recoded
Schools that are on Heightened Cash Monitoring 2 by the Department of Education,under_investigation
Flag for main campus,main_campus
Number of branch campuses,branches
"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting",degrees_awarded.predominant
"Highest degree awarded
 0 Non-degree-granting
 1 Certificate degree
 2 Associate degree
 3 Bachelor's degree
 4 Graduate degree",degrees_awarded.highest
Control of institution (IPEDS),ownership
FIPS code for state,state_fips
Region (IPEDS),region_id
Locale of institution,locale
Degree of urbanization of institution,degree_urbanization
Latitude,location.lat
Longitude,location.lon
Carnegie Classification -- basic,carnegie_basic
Carnegie Classification -- undergraduate profile,carnegie_undergrad
Carnegie Classification -- size and setting,carnegie_size_setting
Flag for Historically Black College and University,minority_serving.historically_black
Flag for predominantly black institution,minority_serving.predominantly_black
Flag for Alaska Native Native Hawaiian serving institution,minority_serving.annh
Flag for tribal college and university,minority_serving.tribal
Flag for Asian American Native American Pacific Islander-serving institution,minority_serving.aanipi
Flag for Hispanic-serving institution,minority_serving.hispanic
Flag for Native American non-tribal institution,minority_serving.nant
Flag for men-only college,men_only
Flag for women-only college,women_only
Religous affiliation of the institution,religious_affiliation
Admission rate,admission_rate.overall
Admission rate for all campuses rolled up to the 6-digit OPE ID,admission_rate.by_ope_id
25th percentile of SAT scores at the institution (critical reading),sat_scores.25th_percentile.critical_reading
75th percentile of SAT scores at the institution (critical reading),sat_scores.75th_percentile.critical_reading
25th percentile of SAT scores at the institution (math),sat_scores.25th_percentile.math
75th percentile of SAT scores at the institution (math),sat_scores.75th_percentile.math
25th percentile of SAT scores at the institution (writing),sat_scores.25th_percentile.writing
75th percentile of SAT scores at the institution (writing),sat_scores.75th_percentile.writing
Midpoint of SAT scores at the institution (critical reading),sat_scores.midpoint.critical_reading
Midpoint of SAT scores at the institution (math),sat_scores.midpoint.math
Midpoint of SAT scores at the institution (writing),sat_scores.midpoint.writing
25th percentile of the ACT cumulative score,act_scores.25th_percentile.cumulative
75th percentile of the ACT cumulative score,act_scores.75th_percentile.cumulative
25th percentile of the ACT English score,act_scores.25th_percentile.english
75th percentile of the ACT English score,act_scores.75th_percentile.english
25th percentile of the ACT math score,act_scores.25th_percentile.math
75th percentile of the ACT math score,act_scores.75th_percentile.math
25th percentile of the ACT writing score,act_scores.25th_percentile.writing
75th percentile of the ACT writing score,act_scores.75th_percentile.writing
Midpoint of the ACT cumulative score,act_scores.midpoint.cumulative
Midpoint of the ACT English score,act_scores.midpoint.english
Midpoint of the ACT math score,act_scores.midpoint.math
Midpoint of the ACT writing score,act_scores.midpoint.writing
Average SAT equivalent score of students admitted,sat_scores.average.overall
Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,sat_scores.average.by_ope_id
"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",program_percentage.agriculture
Percentage of degrees awarded in Natural Resources And Conservation.,program_percentage.resources
Percentage of degrees awarded in Architecture And Related Services.,program_percentage.architecture
"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",program_percentage.ethnic_cultural_gender
"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",program_percentage.communication
Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,program_percentage.communications_technology
Percentage of degrees awarded in Computer And Information Sciences And Support Services.,program_percentage.computer
Percentage of degrees awarded in Personal And Culinary Services.,program_percentage.personal_culinary
Percentage of degrees awarded in Education.,program_percentage.education
Percentage of degrees awarded in Engineering.,program_percentage.engineering
Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,program_percentage.engineering_technology
"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",program_percentage.language
Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,program_percentage.family_consumer_science
Percentage of degrees awarded in Legal Professions And Studies.,program_percentage.legal
Percentage of degrees awarded in English Language And Literature/Letters.,program_percentage.english
"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",program_percentage.humanities
Percentage of degrees awarded in Library Science.,program_percentage.library
Percentage of degrees awarded in Biological And Biomedical Sciences.,program_percentage.biological
Percentage of degrees awarded in Mathematics And Statistics.,program_percentage.mathematics
Percentage of degrees awarded in Military Technologies And Applied Sciences.,program_percentage.military
Percentage of degrees awarded in Multi/Interdisciplinary Studies.,program_percentage.multidiscipline
"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",program_percentage.parks_recreation_fitness
Percentage of degrees awarded in Philosophy And Religious Studies.,program_percentage.philosophy_religious
Percentage of degrees awarded in Theology And Religious Vocations.,program_percentage.theology_religious_vocation
Percentage of degrees awarded in Physical Sciences.,program_percentage.physical_science
Percentage of degrees awarded in Science Technologies/Technicians.,program_percentage.science_technology
Percentage of degrees awarded in Psychology.,program_percentage.psychology
"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",program_percentage.security_law_enforcement
Percentage of degrees awarded in Public Administration And Social Service Professions.,program_percentage.public_administration_social_service
Percentage of degrees awarded in Social Sciences.,program_percentage.social_science
Percentage of degrees awarded in Construction Trades.,program_percentage.construction
Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,program_percentage.mechanic_repair_technology
Percentage of degrees awarded in Precision Production.,program_percentage.precision_production
Percentage of degrees awarded in Transportation And Materials Moving.,program_percentage.transportation
Percentage of degrees awarded in Visual And Performing Arts.,program_percentage.visual_performing
Percentage of degrees awarded in Health Professions And Related Programs.,program_percentage.health
"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",program_percentage.business_marketing
Percentage of degrees awarded in History.,program_percentage.history
"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences.",program.certificate_lt_1_yr.agriculture
"Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences.",program.certificate_lt_2_yr.agriculture
"Associate degree in Agriculture, Agriculture Operations, And Related Sciences.",program.assoc.agriculture
"Award of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences.",program.certificate_lt_4_yr.agriculture
"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences.",program.bachelors.agriculture
Certificate of less than one academic year in Natural Resources And Conservation.,program.certificate_lt_1_yr.resources
Certificate of at least one but less than two academic years in Natural Resources And Conservation.,program.certificate_lt_2_yr.resources
Associate degree in Natural Resources And Conservation.,program.assoc.resources
Award of at least two but less than four academic years in Natural Resources And Conservation.,program.certificate_lt_4_yr.resources
Bachelor's degree in Natural Resources And Conservation.,program.bachelors.resources
Certificate of less than one academic year in Architecture And Related Services.,program.certificate_lt_1_yr.architecture
Certificate of at least one but less than two academic years in Architecture And Related Services.,program.certificate_lt_2_yr.architecture
Associate degree in Architecture And Related Services.,program.assoc.architecture
Award of at least two but less than four academic years in Architecture And Related Services.,program.certificate_lt_4_yr.architecture
Bachelor's degree in Architecture And Related Services.,program.bachelors.architecture
"Certificate of less than one academic year in Area, Ethnic, Cultural, Gender, And Group Studies.",program.certificate_lt_1_yr.ethnic_cultural_gender
"Certificate of at least one but less than two academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",program.certificate_lt_2_yr.ethnic_cultural_gender
"Associate degree in Area, Ethnic, Cultural, Gender, And Group Studies.",program.assoc.ethnic_cultural_gender
"Award of at least two but less than four academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",program.certificate_lt_4_yr.ethnic_cultural_gender
"Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies.",program.bachelors.ethnic_cultural_gender
"Certificate of less than one academic year in Communication, Journalism, And Related Programs.",program.certificate_lt_1_yr.communication
"Certificate of at least one but less than two academic years in Communication, Journalism, And Related Programs.",program.certificate_lt_2_yr.communication
"Associate degree in Communication, Journalism, And Related Programs.",program.assoc.communication
"Award of at least two but less than four academic years in Communication, Journalism, And Related Programs.",program.certificate_lt_4_yr.communication
"Bachelor's degree in Communication, Journalism, And Related Programs.",program.bachelors.communication
Certificate of less than one academic year in Communications Technologies/Technicians And Support Services.,program.certificate_lt_1_yr.communications_technology
Certificate of at least one but less than two academic years in Communications Technologies/Technicians And Support Services.,program.certificate_lt_2_yr.communications_technology
Associate degree in Communications Technologies/Technicians And Support Services.,program.assoc.communications_technology
Award of at least two but less than four academic years in Communications Technologies/Technicians And Support Services.,program.certificate_lt_4_yr.communications_technology
Bachelor's degree in Communications Technologies/Technicians And Support Services.,program.bachelors.communications_technology
Certificate of less than one academic year in Computer And Information Sciences And Support Services.,program.certificate_lt_1_yr.computer
Certificate of at least one but less than two academic years in Computer And Information Sciences And Support Services.,program.certificate_lt_2_yr.computer
Associate degree in Computer And Information Sciences And Support Services.,program.assoc.computer
Award of at least two but less than four academic years in Computer And Information Sciences And Support Services.,program.certificate_lt_4_yr.computer
Bachelor's degree in Computer And Information Sciences And Support Services.,program.bachelors.computer
Certificate of less than one academic year in Personal And Culinary Services.,program.certificate_lt_1_yr.personal_culinary
Certificate of at least one but less than two academic years in Personal And Culinary Services.,program.certificate_lt_2_yr.personal_culinary
Associate degree in Personal And Culinary Services.,program.assoc.personal_culinary
Award of at least two but less than four academic years in Personal And Culinary Services.,program.certificate_lt_4_yr.personal_culinary
Bachelor's degree in Personal And Culinary Services.,program.bachelors.personal_culinary
Certificate of less than one academic year in Education.,program.certificate_lt_1_yr.education
Certificate of at least one but less than two academic years in Education.,program.certificate_lt_2_yr.education
Associate degree in Education.,program.assoc.education
Award of at least two but less than four academic years in Education.,program.certificate_lt_4_yr.education
Bachelor's degree in Education.,program.bachelors.education
Certificate of less than one academic year in Engineering.,program.certificate_lt_1_yr.engineering
Certificate of at least one but less than two academic years in Engineering.,program.certificate_lt_2_yr.engineering
Associate degree in Engineering.,program.assoc.engineering
Award of at least two but less than four academic years in Engineering.,program.certificate_lt_4_yr.engineering
Bachelor's degree in Engineering.,program.bachelors.engineering
Certificate of less than one academic year in Engineering Technologies And Engineering-Related Fields.,program.certificate_lt_1_yr.engineering_technology
